screen_name,n,rank,category
adamjohnsonNYC,694,1,NA
jon_bois,574,2,NA
kenklippenstein,385,3,NA
ByYourLogic,373,4,NA
PFTCommenter,305,5,NA
AOC,290,6,NA
netw3rk,258,7,NA
JordanUhl,255,8,NA
dril,246,9,NA
talkhoops,246,10,NA
KrangTNelson,243,11,NA
willmenaker,242,12,NA
zei_squirrel,236,13,NA
DragonflyJonez,234,14,NA
BernieSanders,232,15,NA
minakimes,221,16,NA
CespedesBBQ,220,17,NA
mike_petriello,220,18,NA
GrantBrisbee,215,19,NA
pixelatedboat,210,20,NA
briebriejoy,204,21,NA
nataliesurely,203,22,NA
BrandyLJensen,201,23,NA
FauxPelini,200,24,NA
davidsirota,194,25,NA
FoolishBB,184,26,NA
ByMcCullough,183,27,NA
jonbernhardt,176,28,NA
nnstats,162,29,NA
AndyKHLiu,155,30,NA
LukewSavage,155,31,NA
InternetHippo,147,32,NA
samesfandiari,141,33,NA
WorldWideWob,139,34,NA
ericstephen,138,35,NA
bomani_jones,137,36,NA
BMcCarthy32,136,37,NA
IlhanMN,136,38,NA
cushbomb,132,39,NA
jemelehill,131,40,NA
TheOnion,129,41,NA
ActNormalOrElse,127,42,NA
SherwoodStrauss,126,43,NA
david_j_roth,125,44,NA
DanielBrim,122,45,NA
BarstoolBigCat,113,46,NA
JamaalBowmanNY,111,47,NA
asmae_toumi,108,48,NA
CoriBush,105,49,NA
Dodgers,99,50,NA
Amrmansour35,98,51,NA
KyleKulinski,98,52,NA
lindseyadler,97,53,NA
nkulw,97,54,NA
cdgoldstein,95,55,NA
marwilliamson,92,56,NA
The_Law_Boy,90,57,NA
megrowler,89,58,NA
its_moeee,86,59,NA
RichardStaff,84,60,NA
ryangrim,83,61,NA
EoinHiggins_,80,62,NA
Lana,79,63,NA
People4Bernie,77,64,NA
rodger,77,65,NA
SenSanders,77,66,NA
Ned2point0,76,67,NA
shaun_vids,76,68,NA
molly_knight,73,69,NA
robrousseau,73,70,NA
SidneyCrosbyEgo,73,71,NA
PabloTorre,71,72,NA
PitchingNinja,71,73,NA
robdelaney,71,74,NA
SportsCenter,71,75,NA
Ben_Austin_21,70,76,NA
Joe_Davis,69,77,NA
based_ball,68,78,NA
Erin_Wrong,67,79,NA
Vinncent,67,80,NA
BleacherReport,63,81,NA
rajat_suresh,63,82,NA
OsitaNwanevu,62,83,NA
daveweigel,60,84,NA
getfiscal,60,85,NA
pblest,59,86,NA
ryanlcooper,59,87,NA
SheaSerrano,59,88,NA
HPbasketball,58,89,NA
sunraysunray,58,90,NA
chrislhayes,57,91,NA
GravelInstitute,57,92,NA
leyawn,56,93,NA
penguins,56,94,NA
KenTremendous,53,95,NA
ThompsonScribe,52,96,NA
em_buckz,50,97,NA
JeffPassan,50,98,NA
ggreenwald,49,99,NA
bigblackjacobin,48,100,NA
